id;title;isbn;author;publisher;city
1;Outdoors;89677;Borders;microchip Kwacha;Strackeborough
2;Dynamic Quetzal Supervisor;95364;AGP Island feed;Plastic Supervisor;Gabrielleview
3;Dynamic circuit circuit;11413;Cape;green e-business;Port Julius
4;web-enabled;36400;encompassing;Bacon Summit Cotton;Hermistontown
5;Director;82133;Reunion Rupiah teal;navigate;New Ruthie
6;Fresh Licensed payment;94596;Wooden bandwidth;driver;Rathport
7;channels Small Research;52722;Pound;Assimilated Agent Metal;Nitzscheville
8;Personal e-enable;37535;Quality Ergonomic;lime Shoal;Marcelinaland
9;Tools District HDD;4333;Plastic;Functionality Proactive;West Theresa
10;Knolls;71258;Rial parse;Avon;Vincenzaville
